x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.45000E-03,+5.64817842E+00,+701.63319E-03,+2.75763196E+00,+2.72013181E+00
-1.42500E-03,+5.40194726E+00,+1.33982414E+00,+2.78275758E+00,+2.76535794E+00
-1.40000E-03,+5.58033922E+00,+965.45229E-03,+2.76768221E+00,+2.74651372E+00
-1.37500E-03,+5.41953520E+00,+1.46042716E+00,+2.79029527E+00,+2.75656397E+00
-1.35000E-03,+5.50747490E+00,+2.86997488E+00,+2.74381286E+00,+2.73269463E+00
-1.32500E-03,+5.46727390E+00,+1.30213570E+00,+2.78275758E+00,+2.75656397E+00
-1.30000E-03,+5.77129399E+00,+2.87751257E+00,+2.78778271E+00,+2.75782026E+00
-1.27500E-03,+5.99742464E+00,+975.50254E-03,+2.77145105E+00,+2.73395091E+00
-1.25000E-03,+5.72104274E+00,+5.02575375E+00,+2.77898874E+00,+2.77415191E+00
-1.22500E-03,+5.84667088E+00,+2.92022614E+00,+2.75135055E+00,+2.76535794E+00
-1.20000E-03,+5.28134425E+00,+8.48052758E+00,+2.76768221E+00,+2.77415191E+00
-1.17500E-03,+5.50496234E+00,+3.31218593E+00,+2.75260683E+00,+2.77038307E+00
-1.15000E-03,+5.74114324E+00,+7.80213563E+00,+2.77898874E+00,+2.74777000E+00
-1.12500E-03,+5.57280153E+00,+1.92525127E+00,+2.76265708E+00,+2.76535794E+00
-1.10000E-03,+5.42707289E+00,+2.02826635E+00,+2.75135055E+00,+2.78671473E+00
-1.07500E-03,+5.73109299E+00,+1.59610555E+00,+2.75135055E+00,+2.77289563E+00
-1.05000E-03,+5.29641963E+00,+1.22173369E+00,+2.77773246E+00,+2.76661423E+00
-1.02500E-03,+5.33159551E+00,+2.62625629E+00,+2.76014452E+00,+2.75405141E+00
-1.00000E-03,+5.70596736E+00,+1.31218595E+00,+2.75511939E+00,+2.71761925E+00
-975.00E-06,+5.70094224E+00,+430.27641E-03,+2.77145105E+00,+2.75153885E+00
-950.00E-06,+5.29390706E+00,+2.82726131E+00,+2.77773246E+00,+2.77540820E+00
-925.00E-06,+5.52255028E+00,+3.22173367E+00,+2.74004402E+00,+2.76535794E+00
-900.00E-06,+5.31652013E+00,+2.42273870E+00,+2.75511939E+00,+2.76284538E+00
-875.00E-06,+5.54265078E+00,+8.48052758E+00,+2.73250633E+00,+2.73646347E+00
-850.00E-06,+6.01752515E+00,+1.56595479E+00,+2.76516965E+00,+2.74148860E+00
-825.00E-06,+5.80646987E+00,+8.48052758E+00,+2.78275758E+00,+2.76033282E+00
