x-axis,1,2,3
second,Volt,Volt,Volt
-268.17600E-06,+966.00421E-06,-1.30627612E-03,-1.08158987E-03
-268.16000E-06,+788.17994E-06,-1.58661085E-03,-1.12343088E-03
-268.14400E-06,+809.10044E-06,-553.13806E-06,-1.43723842E-03
-268.12800E-06,+877.09208E-06,-218.41003E-06,-1.08158987E-03
-268.11200E-06,+709.72805E-06,-745.60668E-06,-767.78233E-06
-268.09600E-06,+720.18831E-06,-1.21841002E-03,-767.78233E-06
-268.08000E-06,+976.46446E-06,-687.02927E-06,-767.78233E-06
-268.06400E-06,+1.04445610E-03,+74.47700E-06,-767.78233E-06
-268.04800E-06,+966.00421E-06,-431.79915E-06,-767.78233E-06
-268.03200E-06,+1.05491635E-03,-791.63178E-06,-767.78233E-06
-268.01600E-06,+1.22228037E-03,-950.62759E-06,-767.78233E-06
-268.00000E-06,+1.30073226E-03,-1.20167361E-03,-767.78233E-06
-267.98400E-06,+1.21182012E-03,-774.89538E-06,-767.78233E-06
-267.96800E-06,+1.31119251E-03,-753.97488E-06,-767.78233E-06
-267.95200E-06,+1.46809628E-03,-1.13891211E-03,-412.13378E-06
-267.93600E-06,+1.46809628E-03,-1.13054391E-03,-453.97479E-06
-267.92000E-06,+1.46809628E-03,-498.74475E-06,-767.78233E-06
-267.90400E-06,+1.64592055E-03,-494.56065E-06,-1.12343088E-03
-267.88800E-06,+1.89173646E-03,-933.89119E-06,-1.08158987E-03
-267.87200E-06,+1.88127621E-03,-720.50207E-06,-767.78233E-06
-267.85600E-06,+1.62500005E-03,-532.21756E-06,-767.78233E-06
-267.84000E-06,+1.46809628E-03,-461.08785E-06,-767.78233E-06
-267.82400E-06,+1.37918414E-03,-682.84517E-06,-1.12343088E-03
-267.80800E-06,+1.47855653E-03,-1.07615060E-03,-725.94133E-06
-267.79200E-06,+1.54654816E-03,-988.28450E-06,-453.97479E-06
-267.77600E-06,+1.46809628E-03,-871.12969E-06,-767.78233E-06
-267.76000E-06,+1.37918414E-03,-933.89119E-06,-767.78233E-06
-267.74400E-06,+1.30073226E-03,-791.63178E-06,-767.78233E-06
-267.72800E-06,+1.12290798E-03,-950.62759E-06,-412.13378E-06
-267.71200E-06,+1.14382849E-03,-1.05941420E-03,-453.97479E-06
-267.69600E-06,+1.30073226E-03,-1.07615060E-03,-1.12343088E-03
-267.68000E-06,+1.30073226E-03,-846.02508E-06,-1.43723842E-03
-267.66400E-06,+1.12290798E-03,-674.47697E-06,-1.08158987E-03
-267.64800E-06,+1.05491635E-03,-799.99998E-06,-767.78233E-06
-267.63200E-06,+1.22228037E-03,-515.48116E-06,-1.12343088E-03
-267.61600E-06,+1.03399585E-03,-833.47278E-06,-1.43723842E-03
-267.60000E-06,+709.72805E-06,-1.26443512E-03,-1.08158987E-03
-267.58400E-06,+631.27617E-06,-988.28450E-06,-412.13378E-06
-267.56800E-06,+720.18831E-06,-942.25939E-06,-453.97479E-06
-267.55200E-06,+887.55233E-06,-783.26358E-06,-767.78233E-06
-267.53600E-06,+788.17994E-06,-958.99579E-06,-1.12343088E-03
-267.52000E-06,+631.27617E-06,-1.05104600E-03,-725.94133E-06
-267.50400E-06,+720.18831E-06,-515.48116E-06,-453.97479E-06
-267.48800E-06,+798.64019E-06,-477.82425E-06,-767.78233E-06
-267.47200E-06,+887.55233E-06,-594.97906E-06,-767.78233E-06
-267.45600E-06,+966.00421E-06,-318.82844E-06,-412.13378E-06
-267.44000E-06,+877.09208E-06,-130.54392E-06,-453.97479E-06
-267.42400E-06,+976.46446E-06,-272.80333E-06,-767.78233E-06
-267.40800E-06,+1.04445610E-03,-753.97488E-06,-767.78233E-06
-267.39200E-06,+877.09208E-06,-712.13387E-06,-767.78233E-06
-267.37600E-06,+976.46446E-06,-540.58576E-06,-767.78233E-06
-267.36000E-06,+955.54396E-06,-381.58994E-06,-767.78233E-06
-267.34400E-06,+976.46446E-06,-628.45186E-06,-412.13378E-06
-267.32800E-06,+1.22228037E-03,-925.52299E-06,-98.32624E-06
-267.31200E-06,+1.47855653E-03,-373.22174E-06,-98.32624E-06
-267.29600E-06,+1.45763603E-03,+3.34729E-06,-98.32624E-06
-267.28000E-06,+1.38964439E-03,-67.78242E-06,-809.62334E-06
-267.26400E-06,+1.37918414E-03,-272.80333E-06,-1.08158987E-03
-267.24800E-06,+1.21182012E-03,-825.10458E-06,-767.78233E-06
-267.23200E-06,+1.48901678E-03,-632.63597E-06,-767.78233E-06
-267.21600E-06,+1.62500005E-03,-770.71128E-06,-767.78233E-06
-267.20000E-06,+1.37918414E-03,-979.91630E-06,-412.13378E-06
-267.18400E-06,+1.30073226E-03,-808.36818E-06,-98.32624E-06
-267.16800E-06,+1.21182012E-03,-1.28953972E-03,-98.32624E-06
-267.15200E-06,+1.31119251E-03,-1.31882842E-03,-453.97479E-06
-267.13600E-06,+1.29027200E-03,-1.28117152E-03,-767.78233E-06
-267.12000E-06,+1.31119251E-03,-1.11380751E-03,-412.13378E-06
-267.10400E-06,+1.37918414E-03,-1.29790792E-03,-453.97479E-06
-267.08800E-06,+1.30073226E-03,-1.73723846E-03,-412.13378E-06
-267.07200E-06,+1.56746867E-03,-1.45271964E-03,-453.97479E-06
-267.05600E-06,+1.44717578E-03,-846.02508E-06,-1.12343088E-03
-267.04000E-06,+1.31119251E-03,-532.21756E-06,-1.08158987E-03
-267.02400E-06,+1.64592055E-03,-887.86609E-06,-767.78233E-06
-267.00800E-06,+1.71391218E-03,-1.05941420E-03,-412.13378E-06
-266.99200E-06,+1.54654816E-03,-649.37237E-06,-453.97479E-06
-266.97600E-06,+1.64592055E-03,-540.58576E-06,-767.78233E-06
-266.96000E-06,+1.80282432E-03,-452.71965E-06,-412.13378E-06
-266.94400E-06,+1.89173646E-03,-193.30543E-06,-453.97479E-06
-266.92800E-06,+1.88127621E-03,-272.80333E-06,-767.78233E-06
-266.91200E-06,+1.80282432E-03,-184.93723E-06,-767.78233E-06
-266.89600E-06,+1.44717578E-03,-67.78242E-06,-412.13378E-06
-266.88000E-06,+1.31119251E-03,-59.41422E-06,-453.97479E-06
-266.86400E-06,+1.46809628E-03,-138.91212E-06,-1.12343088E-03
-266.84800E-06,+1.29027200E-03,-193.30543E-06,-1.08158987E-03
-266.83200E-06,+1.04445610E-03,+153.97490E-06,-767.78233E-06
-266.81600E-06,+1.23274062E-03,-164.01672E-06,-56.48524E-06
-266.80000E-06,+1.46809628E-03,-523.84936E-06,-140.16725E-06
-266.78400E-06,+1.29027200E-03,-398.32635E-06,-412.13378E-06
-266.76800E-06,+1.22228037E-03,-327.19664E-06,+257.32230E-06
