Time,Oven T,Chamber T,Oven output
2021-12-11 1:28:56,110.0,106.06,8
2021-12-11 1:31:01,110.0,105.96,8
2021-12-11 1:33:05,110.0,106.08,11
2021-12-11 1:35:10,110.0,106.09,10
2021-12-11 1:37:15,110.0,106.14,8
2021-12-11 1:39:19,110.0,105.99,6
2021-12-11 1:41:24,110.0,106.31,9
2021-12-11 1:43:28,110.0,106.25,5
2021-12-11 1:45:33,110.0,106.38,11
2021-12-11 1:47:37,110.1,106.25,4
2021-12-11 1:49:42,110.0,106.17,10
2021-12-11 1:51:46,110.0,106.33,8
2021-12-11 1:53:51,110.0,106.45,12
2021-12-11 1:55:56,110.0,106.52,6
2021-12-11 1:58:00,110.0,106.48,3
2021-12-11 2:00:05,110.0,106.74,8
2021-12-11 2:02:09,110.0,106.47,9
2021-12-11 2:04:14,110.0,106.63,5
2021-12-11 2:06:19,110.0,106.81,10
2021-12-11 2:08:23,110.0,106.72,8
2021-12-11 2:10:28,110.0,106.66,7
2021-12-11 2:12:32,110.0,106.72,6
2021-12-11 2:14:37,110.0,106.88,10
2021-12-11 2:16:42,110.0,106.87,7
2021-12-11 2:18:46,110.0,106.81,11
2021-12-11 2:20:51,110.0,106.86,11
2021-12-11 2:22:55,110.0,106.84,9
2021-12-11 2:25:00,110.0,106.87,4
2021-12-11 2:27:05,110.0,106.88,9
2021-12-11 2:29:09,110.0,106.9,6
2021-12-11 2:31:14,110.0,107.0,6
2021-12-11 2:33:19,110.0,107.21,11
2021-12-11 2:35:23,110.0,107.12,11
2021-12-11 2:37:28,110.0,107.01,12
2021-12-11 2:39:32,110.0,107.3,8
2021-12-11 2:41:37,110.0,107.13,9
2021-12-11 2:43:41,110.0,107.05,8
2021-12-11 2:45:46,110.0,107.23,6
2021-12-11 2:47:51,110.0,107.31,6
2021-12-11 2:49:55,110.0,107.22,9
2021-12-11 2:52:00,110.0,107.42,7
2021-12-11 2:54:04,110.0,107.44,6
2021-12-11 2:56:09,110.0,107.31,4
2021-12-11 2:58:14,110.0,107.37,6
2021-12-11 3:00:18,110.0,107.36,6
2021-12-11 3:02:23,110.0,107.48,9
2021-12-11 3:04:27,110.0,107.39,9
2021-12-11 3:06:32,110.0,107.62,8
2021-12-11 3:08:37,110.0,107.46,7
2021-12-11 3:10:41,110.0,107.47,9
2021-12-11 3:12:46,110.0,107.57,7
2021-12-11 3:14:50,110.0,107.65,7
2021-12-11 3:16:55,110.0,107.67,10
2021-12-11 3:19:00,110.0,107.6,8
2021-12-11 3:21:05,110.0,107.58,8
2021-12-11 3:23:09,110.0,107.65,9
2021-12-11 3:25:14,110.0,107.62,7
2021-12-11 3:27:19,110.0,107.71,8
2021-12-11 3:29:23,110.0,107.81,7
2021-12-11 3:31:28,110.0,107.81,7
2021-12-11 3:33:32,110.0,107.87,9
2021-12-11 3:35:37,110.0,107.93,9
2021-12-11 3:37:41,110.0,107.79,10
2021-12-11 3:39:46,110.0,107.92,8
2021-12-11 3:41:50,110.0,108.03,6
2021-12-11 3:43:55,110.0,107.91,13
2021-12-11 3:45:59,110.0,107.98,8
2021-12-11 3:48:04,110.0,108.0,7
2021-12-11 3:50:09,110.0,107.88,8
2021-12-11 3:52:13,110.0,108.02,7
2021-12-11 3:54:18,110.0,108.12,12
2021-12-11 3:56:22,110.0,108.03,13
2021-12-11 3:58:27,110.0,108.14,9
2021-12-11 4:00:32,110.0,108.19,10
2021-12-11 4:02:36,110.0,108.07,7
2021-12-11 4:04:41,110.0,108.14,6
2021-12-11 4:06:45,110.0,108.2,10
2021-12-11 4:08:50,110.0,108.29,10
2021-12-11 4:10:55,110.0,108.09,9
2021-12-11 4:12:59,110.0,108.28,9
2021-12-11 4:15:04,110.0,108.22,11
2021-12-11 4:17:09,110.0,108.08,3
2021-12-11 4:19:13,110.0,108.1,7
2021-12-11 4:21:18,110.0,108.39,9
2021-12-11 4:23:23,110.0,108.45,3
2021-12-11 4:25:27,110.0,108.26,12
2021-12-11 4:27:32,110.0,108.44,9
2021-12-11 4:29:36,110.0,108.44,9
2021-12-11 4:31:41,110.0,108.32,8
2021-12-11 4:33:45,110.0,108.28,6
2021-12-11 4:35:50,110.0,108.53,7
2021-12-11 4:37:55,110.0,108.4,9
2021-12-11 4:39:59,110.0,108.39,11
2021-12-11 4:42:04,110.0,108.55,7
2021-12-11 4:44:08,110.0,108.52,8
2021-12-11 4:46:13,110.0,108.52,6
2021-12-11 4:48:18,110.0,108.41,11
2021-12-11 4:50:22,110.0,108.37,6
2021-12-11 4:52:27,110.0,108.44,10
2021-12-11 4:54:31,110.0,108.56,8
2021-12-11 4:56:36,110.0,108.54,10
2021-12-11 4:58:41,110.0,108.54,8
2021-12-11 5:00:45,110.0,108.49,13
2021-12-11 5:02:50,110.0,108.66,11
2021-12-11 5:04:54,110.0,108.7,7
2021-12-11 5:06:59,110.0,108.41,13
2021-12-11 5:09:04,110.0,108.64,11
2021-12-11 5:11:08,110.0,108.82,9
2021-12-11 5:13:13,110.0,108.56,12
2021-12-11 5:15:18,110.0,108.73,9
2021-12-11 5:17:22,110.0,108.67,11
2021-12-11 5:19:27,110.0,108.76,9
2021-12-11 5:21:31,110.1,108.66,5
2021-12-11 5:23:36,110.0,108.7,3
2021-12-11 5:25:41,110.0,108.81,7
2021-12-11 5:27:45,110.0,108.8,12
2021-12-11 5:29:50,110.0,108.69,7
2021-12-11 5:31:54,110.0,108.93,6
2021-12-11 5:33:59,110.0,108.85,6
2021-12-11 5:36:04,110.0,108.69,10
2021-12-11 5:38:08,110.0,108.99,6
2021-12-11 5:40:13,110.0,108.79,6
2021-12-11 5:42:17,110.0,108.83,13
2021-12-11 5:44:22,110.0,108.9,5
2021-12-11 5:46:26,110.0,108.84,9
2021-12-11 5:48:31,110.0,108.96,10
2021-12-11 5:50:36,110.0,108.97,7
2021-12-11 5:52:40,110.1,108.94,6
2021-12-11 5:54:45,110.0,108.91,8
2021-12-11 5:56:50,110.0,108.77,8
2021-12-11 5:58:55,110.0,108.77,8
2021-12-11 6:00:59,110.0,108.9,6
2021-12-11 6:03:04,110.0,108.94,10
2021-12-11 6:05:08,110.0,108.98,10
2021-12-11 6:07:13,110.0,109.14,10
2021-12-11 6:09:18,110.0,109.01,11
2021-12-11 6:11:22,110.0,108.92,10
2021-12-11 6:13:27,110.0,109.06,8
2021-12-11 6:15:31,110.0,109.07,6
2021-12-11 6:17:36,110.0,109.02,7
2021-12-11 6:19:41,110.0,109.1,11
2021-12-11 6:21:45,110.0,109.1,4
2021-12-11 6:23:50,110.0,109.02,9
2021-12-11 6:25:55,110.0,109.01,11
2021-12-11 6:27:59,110.0,109.1,9
